,project,bugid,test,test_method,pattern,commit_modified,report_url
1199,Lang,27,NumberUtilsTest,testCreateNumber,3,"['61f0f1640387a5e07a4904aa6adec9363ec5e2fc', 'af2f23ee1deb9e05244ca604cd0248dd21227a12', '474154014bc9cc9eff614a3378ce074bc120245e', 'e819ef4e4936b493ebc39d2f47baa0b7cbc72db7', 'da0612b348fcfa7679b92a5e9b8e1603e8e2da3a', 'c2560c028173c3bc0a4627d4ce5ce221bcc9be66']",https://issues.apache.org/jira/browse/LANG-638
1200,Lang,28,NumericEntityUnescaperTest,testSupplementaryUnescaping,1,['3e1afecc200d7e3be9537c95b7cf52a7c5031300'],https://issues.apache.org/jira/browse/LANG-617
1287,Math,1,BigFractionTest,testDigitLimitConstructor,3,"['fdcad35060d6e9bb56be5f50eb891f3f313a177c', 'a4bbdaf426a92d6351796b1d57407776f09f0a3d', '0da657a65c92b086a301a6ffe9e34ec272f8889c']",https://issues.apache.org/jira/browse/MATH-996
1288,Math,1,FractionTest,testDigitLimitConstructor,3,"['0b59d70b7948a22e770b8dd81e6eca20be2c71f4', 'afcb345fba17a8ccf58541d3094e130c38fe80ae', 'a4bbdaf426a92d6351796b1d57407776f09f0a3d', '0da657a65c92b086a301a6ffe9e34ec272f8889c']",https://issues.apache.org/jira/browse/MATH-996
1291,Math,4,SubLineTest,testIntersectionNotIntersecting,1,['277e61721f34be16a20da663fd597edf6b51939b'],https://issues.apache.org/jira/browse/MATH-988
1292,Math,4,SubLineTest,testIntersectionParallel,1,['277e61721f34be16a20da663fd597edf6b51939b'],https://issues.apache.org/jira/browse/MATH-988
1293,Math,5,ComplexTest,testReciprocalZero,3,"['60d96e0ee72180da2c9b89e1acc66033253f0237', 'e54a1c92302f3167b06bc04859b87ac0681bcdf3']",https://issues.apache.org/jira/browse/MATH-934
1310,Math,6,GaussNewtonOptimizerTest,testGetIterations,1,['419a052c6842192e78f747d9f5af619c2ca56e78'],https://issues.apache.org/jira/browse/MATH-949
1311,Math,6,LevenbergMarquardtOptimizerTest,testGetIterations,1,['419a052c6842192e78f747d9f5af619c2ca56e78'],https://issues.apache.org/jira/browse/MATH-949
1323,Math,8,DiscreteRealDistributionTest,testIssue942,1,['196e63174afdb3df1529c1b97bb8437b16831cc3'],https://issues.apache.org/jira/browse/MATH-942
1324,Math,9,LineTest,testRevert,1,['de98c0f0a566060ac143c39036f06a03f141dc52'],https://issues.apache.org/jira/browse/MATH-938
1330,Math,13,PolynomialFitterTest,testLargeSample,1,['a6b2e992e17cee0d4cb5a2da8242a20b8e5a8fc3'],https://issues.apache.org/jira/browse/MATH-924
1331,Math,14,PolynomialFitterTest,testLargeSample,1,['a6b2e992e17cee0d4cb5a2da8242a20b8e5a8fc3'],https://issues.apache.org/jira/browse/MATH-924
1332,Math,15,FastMathTest,testMath904,1,['b221a7342856a2a548f5d9817055defc0ec4dea6'],https://issues.apache.org/jira/browse/MATH-904
1333,Math,16,FastMathTest,testMath905LargeNegative,1,['875ed1f4d90d1457c0ab40dafc79be5a0c6f9bf6'],https://issues.apache.org/jira/browse/MATH-905
1334,Math,16,FastMathTest,testMath905LargePositive,1,['875ed1f4d90d1457c0ab40dafc79be5a0c6f9bf6'],https://issues.apache.org/jira/browse/MATH-905
1335,Math,17,DfpTest,testMultiply,3,"['1eb0c0d7421823470de3a901643ae3be2c9e0a8e', '60d96e0ee72180da2c9b89e1acc66033253f0237', '621806b796bc416f00341feca894ebae07be5ed0']",https://issues.apache.org/jira/browse/MATH-778
1336,Math,18,CMAESOptimizerTest,testFitAccuracyDependsOnBoundary,1,['6e62aefca7aefe26a2ebc43fcdcd6cd58953f7de'],https://issues.apache.org/jira/browse/MATH-867
1337,Math,19,CMAESOptimizerTest,testBoundaryRangeTooLarge,1,['c73fad0a0d42103b5e13a68317ea95b1090263ba'],https://issues.apache.org/jira/browse/MATH-865
1338,Math,20,CMAESOptimizerTest,testMath864,1,['efa9de05114492ca38cf4739a07339f5ad6faddc'],https://issues.apache.org/jira/browse/MATH-864
1339,Math,21,RectangularCholeskyDecompositionTest,testFullRank,1,['468ed8550b7759858a4dc59d694859a8ae7d35f0'],https://issues.apache.org/jira/browse/MATH-789
1340,Math,21,RectangularCholeskyDecompositionTest,testMath789,1,['468ed8550b7759858a4dc59d694859a8ae7d35f0'],https://issues.apache.org/jira/browse/MATH-789
1341,Math,22,FDistributionTest,testIsSupportLowerBoundInclusive,1,['b0cba9a79ee99b09958dec8e40c75bed47b7f780'],https://issues.apache.org/jira/browse/MATH-859
1342,Math,22,UniformRealDistributionTest,testIsSupportUpperBoundInclusive,1,['b0cba9a79ee99b09958dec8e40c75bed47b7f780'],https://issues.apache.org/jira/browse/MATH-859
1344,Math,24,BrentOptimizerTest,testMath855,1,['d5ff460ba69e4261f066d7856e2f90b886924513'],https://issues.apache.org/jira/browse/MATH-855
1345,Math,25,HarmonicFitterTest,testMath844,1,['996dd998e3081e4a842017b8ebcdae9b6059b530'],https://issues.apache.org/jira/browse/MATH-844
1346,Math,26,FractionTest,testIntegerOverflow,3,"['c7b489f1e9cf9ceaff0f5844fdcf6630224ebf16', '1566dd339f6efc2347b0962fac7fce22adbc31ff']",https://issues.apache.org/jira/browse/MATH-836
1348,Math,28,SimplexSolverTest,testMath828Cycle,1,['d3fc5af31eb696af03cfbe2e18584c7e1d307d54'],https://issues.apache.org/jira/browse/MATH-828
1352,Math,30,MannWhitneyUTestTest,testBigDataSet,1,['a25e7f7abe7f6b3f4147febee4a917ce92241aab'],https://issues.apache.org/jira/browse/MATH-790
1353,Math,31,BinomialDistributionTest,testMath718,1,['2d846db3aec18dd081e680be05f6e0faad1cb186'],https://issues.apache.org/jira/browse/MATH-718
1354,Math,31,FDistributionTest,testMath785,1,['2d846db3aec18dd081e680be05f6e0faad1cb186'],https://issues.apache.org/jira/browse/MATH-718
1355,Math,32,PolyhedronsSetTest,testIssue780,1,['f81847d8079753ce45b049813730055188a22efb'],https://issues.apache.org/jira/browse/MATH-780
1356,Math,33,SimplexSolverTest,testMath781,1,['3ef79313597d7d49067c48d65a09042d8d94822d'],https://issues.apache.org/jira/browse/MATH-781
1357,Math,34,ListPopulationTest,testIterator,1,['520f36b43a13681db338a07ac6c251cbe1a7a6e5'],https://issues.apache.org/jira/browse/MATH-779
1466,Mockito,1,FieldInitializerTest,can_instantiate_class_with_parameterized_constructor,3,"['377de51ddf90e01c50646f34e353bbf01844c677', '5a4cdb5a40542e01c1558f7fbc34df01cfa794aa', 'e989b7e84b4f9b2e5b3b70e766d6215fd68fcb3b', '5e3a9dcd5c4acbe5b87d8c458df7f8a925ebe1e6', 'd26f5db9023b6b7cd331017551ea4353fff0ef91']",https://github.com/mockito/mockito/issues/188
1472,Mockito,1,ResetTest,shouldRemoveAllStubbing,3,"['51aca5035ea543ecdd109a77b30d34006cb98f29', 'db8333da5f132fb3bbe3c9c06a5e2a522a9667f9', '52a27f7bfeae32bd3ed4f58b999e76011e6af8df', '5672ed90dd8b29319a7ac2efd9acfe49a5027651', 'd4af3491da11293809062edf0dc63cc428d9b734', '78b954220c87827e5f0e926a9eff529112e37351', 'c6cd754bbfd38b9249278e725843f4f685dcb743', 'c69a4d39130e291b56131fdf03c807b48be77eab', 'b5403f8d1f780ed7b866801e459c861dd4d98798', '39dbb0f10abda381e03711846d6e61099613d44f', 'd26f5db9023b6b7cd331017551ea4353fff0ef91']",https://github.com/mockito/mockito/issues/188
1489,Mockito,2,NegativeDurationTest,should_throw_exception_when_duration_is_negative_for_after_method,1,['80452c7a42777513c35fd30c4e12bcd7ee438fb9'],https://github.com/mockito/mockito/issues/197
1490,Mockito,2,NegativeDurationTest,should_throw_exception_when_duration_is_negative_for_timeout_method,1,['80452c7a42777513c35fd30c4e12bcd7ee438fb9'],https://github.com/mockito/mockito/issues/197
1491,Mockito,2,TimerTest,should_throw_friendly_reminder_exception_when_duration_is_negative,1,['80452c7a42777513c35fd30c4e12bcd7ee438fb9'],https://github.com/mockito/mockito/issues/197
1492,Mockito,3,CapturingArgumentsTest,captures_correctly_when_captor_used_multiple_times,2,"['41b184237e5713d1c9b71714a7ecd00caab5e1b7', '144e32d269f6f5af529c52505e43b96f9fe59dea']",https://github.com/mockito/mockito/issues/188
1493,Mockito,3,CapturingArgumentsTest,captures_correctly_when_captor_used_on_pure_vararg_method,1,['144e32d269f6f5af529c52505e43b96f9fe59dea'],https://github.com/mockito/mockito/issues/188
1494,Mockito,3,CapturingArgumentsTest,should_capture_all_vararg,3,"['e43a958833df5aa46f54d7cd83b1c17fa19cc5dc', 'a7751c2763da93f0dece68d6da388e36d137647d', '41b184237e5713d1c9b71714a7ecd00caab5e1b7']",https://github.com/mockito/mockito/issues/188
1495,Mockito,3,CapturingArgumentsTest,should_capture_byte_vararg_by_creating_captor_with_primitive,3,"['e43a958833df5aa46f54d7cd83b1c17fa19cc5dc', 'a7751c2763da93f0dece68d6da388e36d137647d', '41b184237e5713d1c9b71714a7ecd00caab5e1b7']",https://github.com/mockito/mockito/issues/188
1496,Mockito,3,CapturingArgumentsTest,should_capture_byte_vararg_by_creating_captor_with_primitive_wrapper,3,"['e43a958833df5aa46f54d7cd83b1c17fa19cc5dc', 'a7751c2763da93f0dece68d6da388e36d137647d', '41b184237e5713d1c9b71714a7ecd00caab5e1b7']",https://github.com/mockito/mockito/issues/188
1497,Mockito,3,CapturingArgumentsTest,should_capture_vararg,3,"['e43a958833df5aa46f54d7cd83b1c17fa19cc5dc', 'a7751c2763da93f0dece68d6da388e36d137647d', '41b184237e5713d1c9b71714a7ecd00caab5e1b7']",https://github.com/mockito/mockito/issues/188
1501,Mockito,4,ClassCastExOnVerifyZeroInteractionsTest,should_not_throw_a_ClassCastException,1,['42b391d4209024292b6101048389570e4ec36b2a'],https://github.com/mockito/mockito/issues/187
1502,Mockito,4,ReporterTest,can_use_mock_name_even_when_mock_bogus_default_answer_and_when_reporting_no_more_interaction_wanted,1,['42b391d4209024292b6101048389570e4ec36b2a'],https://github.com/mockito/mockito/issues/187
1503,Mockito,4,ReporterTest,can_use_print_mock_name_even_when_mock_bogus_default_answer_and_when_reporting_injection_failure,1,['42b391d4209024292b6101048389570e4ec36b2a'],https://github.com/mockito/mockito/issues/187
1504,Mockito,4,ReporterTest,can_use_print_mock_name_even_when_mock_bogus_default_answer_and_when_reporting_no_more_interaction_wanted_in_order,1,['42b391d4209024292b6101048389570e4ec36b2a'],https://github.com/mockito/mockito/issues/187
1505,Mockito,5,NoJUnitDependenciesTest,pure_mockito_should_not_depend_JUnit,1,['611aadad684ed247741da29ae42cb32c1eec5ee6'],https://github.com/mockito/mockito/issues/152
1506,Mockito,6,AnyXMatchersAcceptNullsTest,shouldNotAcceptNullInAllAnyPrimitiveWrapperMatchers,1,['dc205824dbc289acbcde919e430176ad72da847f'],https://github.com/mockito/mockito/issues/134
1507,Mockito,6,AnyXMatchersAcceptNullsTest,shouldNotAcceptNullInAnyXMatchers,1,['dc205824dbc289acbcde919e430176ad72da847f'],https://github.com/mockito/mockito/issues/134
1508,Mockito,6,MatchersTest,anyStringMatcher,3,"['e86b9ac95b53d6aa54de989d8694fcc0f55a2362', '3133e1a7ab662c52c4350bdecb512874b7afe9b1', '66b6c1ddc099393d1a2d419b7486a609329341f5', '97194a6efa55ccaaec277fab470c076cb448c003', 'dc205824dbc289acbcde919e430176ad72da847f']",https://github.com/mockito/mockito/issues/134
1509,Mockito,6,NewMatchersTest,shouldAllowAnyCollection,3,"['2e0f918ff2f693c5704ba3832a94ffccddf97840', 'dc205824dbc289acbcde919e430176ad72da847f']",https://github.com/mockito/mockito/issues/134
1510,Mockito,6,NewMatchersTest,shouldAllowAnyList,3,"['2e0f918ff2f693c5704ba3832a94ffccddf97840', 'dc205824dbc289acbcde919e430176ad72da847f']",https://github.com/mockito/mockito/issues/134
1582,Time,2,TestPartial_Basics,testWith_baseAndArgHaveNoRange,1,['8612f9e5b88c1bea933ef9ab1e431f5db3006b48'],https://github.com/JodaOrg/joda-time/issues/93
1583,Time,3,TestMutableDateTime_Adds,testAddDays_int_dstOverlapWinter_addZero,1,['8d109fe1a999a11b4557536dd96f9210460a5936'],https://github.com/JodaOrg/joda-time/issues/77
1584,Time,3,TestMutableDateTime_Adds,testAddMonths_int_dstOverlapWinter_addZero,1,['8d109fe1a999a11b4557536dd96f9210460a5936'],https://github.com/JodaOrg/joda-time/issues/77
1585,Time,3,TestMutableDateTime_Adds,testAddWeeks_int_dstOverlapWinter_addZero,1,['8d109fe1a999a11b4557536dd96f9210460a5936'],https://github.com/JodaOrg/joda-time/issues/77
1586,Time,3,TestMutableDateTime_Adds,testAddYears_int_dstOverlapWinter_addZero,1,['8d109fe1a999a11b4557536dd96f9210460a5936'],https://github.com/JodaOrg/joda-time/issues/77
1587,Time,3,TestMutableDateTime_Adds,testAdd_DurationFieldType_int_dstOverlapWinter_addZero,1,['8d109fe1a999a11b4557536dd96f9210460a5936'],https://github.com/JodaOrg/joda-time/issues/77
1588,Time,4,TestPartial_Basics,testWith3,1,['3ba9ba799b3261b7332a467a88be142c83b298fd'],https://github.com/JodaOrg/joda-time/issues/88
1589,Time,5,TestPeriod_Basics,testNormalizedStandard_periodType_months1,1,['a6cb59ed2280ab0a32995fa8b5f1a7b0d47cb815'],https://github.com/JodaOrg/joda-time/issues/79
1590,Time,5,TestPeriod_Basics,testNormalizedStandard_periodType_months2,1,['a6cb59ed2280ab0a32995fa8b5f1a7b0d47cb815'],https://github.com/JodaOrg/joda-time/issues/79
1591,Time,5,TestPeriod_Basics,testNormalizedStandard_periodType_monthsWeeks,1,['a6cb59ed2280ab0a32995fa8b5f1a7b0d47cb815'],https://github.com/JodaOrg/joda-time/issues/79
1592,Time,6,TestGJDate,test_cutoverPreZero,1,['28aeba952e838fb12c9b934ce6ef65658e45d7b2'],https://github.com/JodaOrg/joda-time/issues/28
1593,Time,6,TestGJDate,test_plusWeekyears_positiveToNegative_crossCutover,1,['28aeba952e838fb12c9b934ce6ef65658e45d7b2'],https://github.com/JodaOrg/joda-time/issues/28
1594,Time,6,TestGJDate,test_plusWeekyears_positiveToZero_crossCutover,1,['28aeba952e838fb12c9b934ce6ef65658e45d7b2'],https://github.com/JodaOrg/joda-time/issues/28
